date,name,category,value
2020-07-08,KuCoin Shares,Exchange,69
2020-07-08,BitShares,Exchange,69
2020-07-08,WAX,Marketplace,68
2020-07-08,MCO,Financial Service,68
2020-07-08,Horizen,Privacy,65
2020-07-08,Energi,Proof of Work (PoW),62
2020-07-08,Decentraland,Virtual Reality,58
2020-07-08,HyperCash,Uncategorized,57
2020-07-08,Electroneum,Uncategorized,57
2020-07-08,Stratis,Proof of Stake (PoS),57
2020-07-08,Nuls,Uncategorized,57
2020-07-08,Golem,Computing,56
2020-07-08,aelf,Computing,55
2020-07-08,Ardor,Uncategorized,53
2020-07-08,Digitex Futures,Exchange,52
2020-07-08,Zcoin,Privacy,50
2020-07-08,Aion,Uncategorized,49
2020-07-08,TomoChain,Social,48
2020-07-08,Aeternity,Uncategorized,46
2020-07-08,MaidSafeCoin,Uncategorized,46
2020-07-08,Aragon,Uncategorized,44
2020-07-08,Pundi X,Financial Service,43
2020-07-08,Redd,Social,41
2020-07-08,Power Ledger,Energy,40
2020-07-08,CyberVein,Uncategorized,39
2020-07-08,Bytecoin,Privacy,39
2020-07-08,WaykiChain,Proof of Stake (PoS),38
2020-07-08,Ark,Uncategorized,35
2020-07-08,GXChain,Storage,34
2020-07-08,Dragonchain,Uncategorized,33
2020-07-08,Storj,Storage,33
2020-07-08,Advanced Internet Blocks,Proof of Work (PoW),31
2020-07-08,Vitae,Social,31
2020-07-08,Gnosis,Prediction,30
2020-07-08,Elastos,Uncategorized,29
2020-07-08,PRIZM,Proof of Stake (PoS),29
2020-07-08,Waltonchain,IoT,29
2020-07-08,Cortex,AI,28
2020-07-08,IoTeX,IoT,28
2020-07-08,Wanchain,Financial Service,27
2020-07-08,WhiteCoin,Uncategorized,27
2020-07-08,FunFair,Gaming,26
2020-07-08,PIVX,Privacy,25
2020-07-08,Haven Protocol,Proof of Work (PoW),25
2020-07-08,PLATINCOIN,Business Service,25
2020-07-08,CasinoCoin,Gambling,24
2020-07-08,Fusion,Uncategorized,24
2020-07-08,Project Pai,Identity,23
2020-07-08,Aurora,Business Service,23
2020-07-08,Nebulas,Uncategorized,23
2020-07-08,Stakenet,Proof of Stake (PoS),23
2020-07-08,CRYPTO20,Uncategorized,22
2020-07-08,Polymath,Investing Tool,22
2020-07-08,Hellenic Coin,Uncategorized,21
2020-07-08,Metal,Financial Service,21
2020-07-08,Nectar,Exchange,21
2020-07-08,Nimiq,Proof of Work (PoW),21
2020-07-08,Loom Network,Social,20
2020-07-08,Syscoin,Marketplace,19
2020-07-08,Populous,Marketplace,19
2020-07-08,Aidos Kuneen,Proof of Work (PoW),19
2020-07-08,Civic,Identity,19
2020-07-08,RChain,Uncategorized,19
2020-07-08,Enigma,Marketplace,19
2020-07-08,Dynamic Trading Rights,Exchange,18
2020-07-08,Gas,Uncategorized,18
2020-07-08,Dent,Uncategorized,18
2020-07-08,Ignis,Uncategorized,18
2020-07-08,Vertcoin,Proof of Work (PoW),17
2020-07-08,Everipedia,Education,16
2020-07-08,SingularityNET,Marketplace,16
2020-07-08,DeviantCoin,Computing,16
2020-07-08,Factom,Proof of Stake (PoS),15
2020-07-08,Groestlcoin,Proof of Work (PoW),15
2020-07-08,Loki,Communication,15
2020-07-08,QuarkChain,Computing,15
2020-07-08,Quantstamp,Uncategorized,14
2020-07-08,Cindicator,Investing Tool,14
2020-07-08,Apollo Currency,Marketplace,14
2020-07-08,Nexus,Proof of Stake (PoS),14
2020-07-08,Unobtanium,Proof of Work (PoW),13
2020-07-08,SaluS,Proof of Stake (PoS),13
2020-07-08,QASH,Uncategorized,12
2020-07-08,LBRY Credits,Proof of Work (PoW),12
2020-07-08,MicroBitcoin,Financial Service,12
2020-07-08,Einsteinium,Proof of Work (PoW),11
2020-07-08,GoChain,Software,11
2020-07-08,Raiden Network Token,Uncategorized,11
2020-07-08,Nxt,Proof of Stake (PoS),11
2020-07-08,Bread,Financial Service,11
2020-07-08,PeepCoin,Proof of Stake (PoS),11
2020-07-08,Cred,Financial Service,11
2020-07-08,Kin,Uncategorized,11
2020-07-08,Spectre.ai Dividend Token,Investing Tool,10
2020-07-08,ODEM,Education,10
2020-07-08,Time New Bank,Uncategorized,10
2020-07-08,CyberMiles,Marketplace,10
2020-07-08,Neblio,Proof of Stake (PoS),10
2020-07-08,Burst,Uncategorized,10
2020-07-08,Bezant,Marketplace,9
2020-07-08,Skycoin,Uncategorized,9
2020-07-08,Santiment Network Token,Investing Tool,9
2020-07-08,Blocknet,Proof of Stake (PoS),9
2020-07-08,Telcoin,Uncategorized,9
2020-07-08,Dero,Proof of Work (PoW),9
2020-07-08,Hifi Finance,Communication,9
2020-07-08,NavCoin,Proof of Stake (PoS),9
2020-07-08,Moeda Loyalty Points,Financial Service,9
2020-07-08,HYCON,Computing,9
2020-07-08,Bibox Token,Financial Service,9
2020-07-08,DigixDAO,Uncategorized,9
2020-07-08,Metaverse ETP,Identity,8
2020-07-08,Veritaseum,Uncategorized,8
2020-07-08,Electra,Proof of Work (PoW),8
2020-07-08,Bluzelle,Storage,8
2020-07-08,Gifto,Uncategorized,8
2020-07-08,Capricoin+,Uncategorized,8
2020-07-08,Polis,Proof of Work (PoW),8
2020-07-08,Propy,Real Estate,8
2020-07-08,Peercoin,Proof of Work (PoW),7
2020-07-08,OST,Computing,7
2020-07-08,Monero Classic,Proof of Work (PoW),7
2020-07-08,TenX,Financial Service,7
2020-07-08,Po.et,Uncategorized,7
2020-07-08,Aeon,Privacy,7
2020-07-08,Quark,Proof of Work (PoW),7
2020-07-08,Achain,Proof of Stake (PoS),6
2020-07-08,Particl,Marketplace,6
2020-07-08,Endor Protocol,Prediction,6
2020-07-08,Credits,Financial Service,6
2020-07-08,Ruff,IoT,6
2020-07-08,ALQO,Proof of Work (PoW),6
2020-07-08,Steem Dollars,Social,6
2020-07-08,Asch,Proof of Work (PoW),6
2020-07-08,MOAC,Uncategorized,6
2020-07-08,BnkToTheFuture,Investing Tool,6
2020-07-08,XTRABYTES,Uncategorized,6
2020-07-08,Namecoin,Proof of Work (PoW),6
2020-07-08,GameCredits,Gaming,5
2020-07-08,SIRIN LABS Token,Uncategorized,5
2020-07-08,Mithril,Gaming,5
2020-07-08,Wagerr,Gambling,5
2020-07-08,Tokenomy,Crowdfunding,5
2020-07-08,Genesis Vision,Uncategorized,5
2020-07-08,Revain,Uncategorized,5
2020-07-08,Pillar,Uncategorized,5
2020-07-08,SALT,Financial Service,5
2020-07-08,SmartMesh,Uncategorized,5
2020-07-08,Lightning Bitcoin,Proof of Work (PoW),5
2020-07-08,Viacoin,Proof of Work (PoW),5
2020-07-08,Ubiq,Proof of Work (PoW),5
2020-07-08,High Performance Blockchain,Software,5
2020-07-08,Gulden,Proof of Work (PoW),4
2020-07-08,SmartCash,Proof of Stake (PoS),4
2020-07-08,bitCNY,Stablecoin,4
2020-07-08,ProximaX,Business Service,4
2020-07-08,FLO,Proof of Work (PoW),4
2020-07-08,POA,Uncategorized,4
2020-07-08,Bitcore,Uncategorized,4
2020-07-08,Lykke,Exchange,4
2020-07-08,Ondori,Proof of Stake (PoS),4
2020-07-08,BOX Token,Uncategorized,4
2020-07-08,SONM,Computing,3
2020-07-08,Infinitecoin,Proof of Work (PoW),3
2020-07-08,BitTube,Entertainment,3
2020-07-08,Dentacoin,Healthcare,3
2020-07-08,HTMLCOIN,Proof of Work (PoW),3
2020-07-08,Flash,Proof of Stake (PoS),3
2020-07-08,ColossusXT,Proof of Stake (PoS),3
2020-07-08,Matrix AI Network,AI,3
2020-07-08,Red Pulse Phoenix,Uncategorized,3
2020-07-08,Credo,Uncategorized,3
2020-07-08,OKCash,Proof of Stake (PoS),3
2020-07-08,NIX,Privacy,3
2020-07-08,VINchain,Proof of Stake (PoS),3
2020-07-08,Phore,Privacy,3
2020-07-08,Nasdacoin,Proof of Stake (PoS),3
2020-07-08,DigitalNote,Privacy,3
2020-07-08,PumaPay,Business Service,3
2020-07-08,Emercoin,Proof of Work (PoW),3
2020-07-08,MintCoin,Proof of Work (PoW),3
2020-07-08,Bitcoin Atom,Proof of Work (PoW),2
2020-07-08,Mooncoin,Proof of Work (PoW),2
2020-07-08,Litecoin Cash,Proof of Work (PoW),2
2020-07-08,Counterparty,Proof of Work (PoW),2
2020-07-08,Vipstar Coin,Charity,2
2020-07-08,Feathercoin,Proof of Work (PoW),2
2020-07-08,Alias,Privacy,2
2020-07-08,ECC,Proof of Work (PoW),2
2020-07-08,MIR COIN,Business Service,2
2020-07-08,Nucleus Vision,Uncategorized,2
2020-07-08,Clams,Proof of Stake (PoS),2
2020-07-08,Odyssey,Abandoned,2
2020-07-08,Ixcoin,Proof of Work (PoW),2
2020-07-08,Myriad,Proof of Work (PoW),2
2020-07-08,TokenPay,Proof of Stake (PoS),2
2020-07-08,Credit Tag Chain,Financial Service,2
2020-07-08,Wowbit,Storage,2
2020-07-08,GridCoin,Proof of Work (PoW),2
2020-07-08,Cryptaur,Uncategorized,2
2020-07-08,ChatCoin,Social,2
2020-07-08,Zipper,Privacy,2
2020-07-08,Radium,Identity,2
2020-07-08,Bean Cash,Proof of Work (PoW),2
2020-07-08,PotCoin,Cannabis,2
2020-07-08,Stealth,Proof of Work (PoW),2
2020-07-08,VeriCoin,Proof of Work (PoW),2
2020-07-08,THEKEY,Identity,2
2020-07-08,Scry.info,Uncategorized,2
2020-07-08,Global Cryptocurrency,Uncategorized,2
2020-07-08,Boolberry,Proof of Work (PoW),2
